type,title,url,wiki_title,wiki_url,wiki_extract,ka_best,ka_top3,confidence,matched_terms_bestka,hist_birth,hist_death,hist_mid,wiki_years,wiki_year_median,active_year,ka_status
persoon,"Schalcken, Godefridus",https://historiek.net/thema/godefridus-schalcken/,,,,,,0.0,,,,,,,,uncertain
persoon,"Scheel, Walter",https://historiek.net/walter-scheel-bondspresident-duitsland/149036/,Schele waterslangen,https://nl.wikipedia.org/wiki/Schele_waterslangen,Schele waterslangen (Helicops) zijn een geslacht van slangen uit de familie toornslangachtigen (Colubridae) en de onderfamilie Dipsadinae.,,,0.0,,,,,,,,uncertain
persoon,"Schellenberg, Walter",https://historiek.net/venlo-incident-walter-schellenberg/136505/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schelvis, Jules",https://historiek.net/jules-schelvis-getuige-van-sobibor/173296/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schendel, Arthur van",https://historiek.net/arthur-van-schendel-biografie-nederlandse-schrijver/162692/,,,,KA3,KA3,1.0,ur,,,,,,,confirmed
persoon,"Schermerhorn, Willem",https://historiek.net/willem-schermerhorn-de-onbekende-minister-president/42378/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schiaparelli, Elsa",https://historiek.net/elsa-schiaparelli-italiaans-franse-modeontwerpster/153341/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schiele, Egon",https://historiek.net/thema/egon-schiele/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schimmelpenninck, Rutger Jan",https://historiek.net/wie-was-rutger-jan-schimmelpenninck-biografie/134344/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schindler, Oskar",https://historiek.net/oskar-schindler-biografie-schindlers-list/172257/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schmelzer, Norbert",https://historiek.net/norbert-schmelzer-nederlands-politicus/152692/,,,,,,0.0,,,,,,,,uncertain
